"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"439","RAMP3","ENSG00000122679","439.1.1","N/A","N/A","N/A"
"440","IL2RA","ENSG00000134460","440.1.1","N/A","N/A","N/A"
"441","IL2RG","ENSG00000147168","441.1.1","N/A","N/A","N/A"
"442","ITGAL","ENSG00000005844","442.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"442","ITGAL","ENSG00000005844","442.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"443","CLEC4M","ENSG00000104938","443.1.1","N/A","N/A","N/A"
"444","RHAG","ENSG00000112077","444.1.1","rhr-1","WBGene00004358","RH (Rhesus) antigen Related  [Source:UniProtKB/TrEMBL;Acc:Q22947]"
"444","RHAG","ENSG00000112077","444.1.2","rhr-2","WBGene00004359","RH (Rhesus) antigen Related  [Source:UniProtKB/TrEMBL;Acc:Q17463]"
"445","IFNAR1","ENSG00000142166","445.1.1","N/A","N/A","N/A"
"446","IFNAR2","ENSG00000159110","446.1.1","N/A","N/A","N/A"
"447","IFNGR1","ENSG00000027697","447.1.1","N/A","N/A","N/A"
"448","IFNGR2","ENSG00000159128","448.1.1","N/A","N/A","N/A"
"449","IFNLR1","ENSG00000185436","449.1.1","N/A","N/A","N/A"
"450","IL10RB","ENSG00000243646","450.1.1","N/A","N/A","N/A"
"451","FZD8","ENSG00000177283","451.1.1","N/A","N/A","N/A"
"452","IGFLR1","ENSG00000126246","452.1.1","N/A","N/A","N/A"
"453","IL10RA","ENSG00000110324","453.1.1","N/A","N/A","N/A"
"454","SIRPG","ENSG00000089012","454.1.1","N/A","N/A","N/A"
"455","IL11RA","ENSG00000137070","455.1.1","N/A","N/A","N/A"
"456","CD28","ENSG00000178562","456.1.1","N/A","N/A","N/A"
"457","IL12RB1","ENSG00000096996","457.1.1","N/A","N/A","N/A"
"458","IL12RB2","ENSG00000081985","458.1.1","N/A","N/A","N/A"
"459","IL23R","ENSG00000162594","459.1.1","N/A","N/A","N/A"
"460","IL13RA1","ENSG00000131724","460.1.1","N/A","N/A","N/A"
"461","IL13RA2","ENSG00000123496","461.1.1","N/A","N/A","N/A"
"462","IL4R","ENSG00000077238","462.1.1","N/A","N/A","N/A"
"463","IL15RA","ENSG00000134470","463.1.1","N/A","N/A","N/A"
"464","IL2RB","ENSG00000100385","464.1.1","N/A","N/A","N/A"
"465","GRIN2C","ENSG00000161509","465.1.1","N/A","N/A","N/A"
"466","KCNA3","ENSG00000177272","466.1.1","N/A","N/A","N/A"
"467","KCND1","ENSG00000102057","467.1.1","N/A","N/A","N/A"
"468","KCND2","ENSG00000184408","468.1.1","N/A","N/A","N/A"
"469","KCNJ10","ENSG00000177807","469.1.1","N/A","N/A","N/A"
"470","KCNJ15","ENSG00000157551","470.1.1","N/A","N/A","N/A"
"471","KCNJ4","ENSG00000168135","471.1.1","N/A","N/A","N/A"
"472","IL17RA","ENSG00000177663","472.1.1","N/A","N/A","N/A"
"473","IL17RB","ENSG00000056736","473.1.1","ilcr-1","WBGene00013415","Interleukin cytokine receptor-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9NA64]"
"474","CD48","ENSG00000117091","474.1.1","N/A","N/A","N/A"
"475","IL18R1","ENSG00000115604","475.1.1","N/A","N/A","N/A"
"476","IL18RAP","ENSG00000115607","476.1.1","N/A","N/A","N/A"
"477","IL1RAPL1","ENSG00000169306","477.1.1","N/A","N/A","N/A"
"478","IL1RL2","ENSG00000115598","478.1.1","N/A","N/A","N/A"
"479","IL20RA","ENSG00000016402","479.1.1","N/A","N/A","N/A"
"480","IL20RB","ENSG00000174564","480.1.1","N/A","N/A","N/A"
"481","IL1R1","ENSG00000115594","481.1.1","N/A","N/A","N/A"
"482","IL1R2","ENSG00000115590","482.1.1","N/A","N/A","N/A"
"483","IL1RAP","ENSG00000196083","483.1.1","N/A","N/A","N/A"
"484","ADRB2","ENSG00000169252","484.1.1","N/A","N/A","N/A"
"485","IL22RA1","ENSG00000142677","485.1.1","N/A","N/A","N/A"
"486","IL21R","ENSG00000103522","486.1.1","N/A","N/A","N/A"
"487","IL22RA2","ENSG00000164485","487.1.1","N/A","N/A","N/A"
"488","CD53","ENSG00000143119","488.1.1","N/A","N/A","N/A"
"489","GYPE","ENSG00000197465","489.1.1","N/A","N/A","N/A"
"490","IL31RA","ENSG00000164509","490.1.1","N/A","N/A","N/A"
"491","OSMR","ENSG00000145623","491.1.1","N/A","N/A","N/A"
"492","IL5RA","ENSG00000091181","492.1.1","N/A","N/A","N/A"
"493","IL7R","ENSG00000168685","493.1.1","N/A","N/A","N/A"
"494","IL9R","ENSG00000124334","494.1.1","N/A","N/A","N/A"
"495","TGFBR3","ENSG00000069702","495.1.1","N/A","N/A","N/A"
"496","BAMBI","ENSG00000095739","496.1.1","N/A","N/A","N/A"
"497","ACVR1C","ENSG00000123612","497.1.1","daf-1","WBGene00000897","Cell surface receptor daf-1  [Source:UniProtKB/Swiss-Prot;Acc:P20792]"
"497","ACVR1C","ENSG00000123612","497.1.2","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"497","ACVR1C","ENSG00000123612","497.1.3","sma-6","WBGene00004860","Serine/threonine-protein kinase sma-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09488]"
"498","RXFP2","ENSG00000133105","498.1.1","N/A","N/A","N/A"
"499","RXFP3","ENSG00000182631","499.1.1","N/A","N/A","N/A"
"500","RXFP4","ENSG00000173080","500.1.1","npr-17","WBGene00015559","Probable G-protein coupled receptor C06G4.5  [Source:UniProtKB/Swiss-Prot;Acc:P34311]"
"500","RXFP4","ENSG00000173080","500.1.2","npr-30","WBGene00019183","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:O76667]"
"501","FCER1A","ENSG00000179639","501.1.1","N/A","N/A","N/A"
"502","KISS1R","ENSG00000116014","502.1.1","npr-32","WBGene00013782","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:O62403]"
"503","MMP24","ENSG00000125966","503.1.1","N/A","N/A","N/A"
"504","BDKRB1","ENSG00000100739","504.1.1","N/A","N/A","N/A"
"505","GPR135","ENSG00000181619","505.1.1","N/A","N/A","N/A"
"506","CLDN2","ENSG00000165376","506.1.1","N/A","N/A","N/A"
"507","DLK2","ENSG00000171462","507.1.1","apx-1","WBGene00000168","Anterior pharynx in excess protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P41990]"
"507","DLK2","ENSG00000171462","507.1.2","T25C12.3","WBGene00012018",""
"507","DLK2","ENSG00000171462","507.1.3","egas-3","WBGene00013480","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q9XTS9]"
"507","DLK2","ENSG00000171462","507.1.4","egas-1","WBGene00013486","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q9U1T9]"
"507","DLK2","ENSG00000171462","507.1.5","egas-2","WBGene00013487","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q9U1T8]"
"507","DLK2","ENSG00000171462","507.1.6","egas-4","WBGene00018906","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q20852]"
"507","DLK2","ENSG00000171462","507.1.7","R05G6.9","WBGene00019901",""
"507","DLK2","ENSG00000171462","507.1.8","ZK1193.2","WBGene00022858",""
"508","PDGFRB","ENSG00000113721","508.1.1","N/A","N/A","N/A"
"509","BCAM","ENSG00000187244","509.1.1","N/A","N/A","N/A"
"510","COL17A1","ENSG00000065618","510.1.1","N/A","N/A","N/A"
"511","LMBR1L","ENSG00000139636","511.1.1","R05D3.2","WBGene00019877","LIMR family protein R05D3.2  [Source:UniProtKB/Swiss-Prot;Acc:P34535]"
"512","VANGL1","ENSG00000173218","512.1.1","vang-1","WBGene00015171","Vang-like protein  [Source:UniProtKB/TrEMBL;Acc:Q95ZZ6]"
"513","LPAR1","ENSG00000198121","513.1.1","N/A","N/A","N/A"
"514","LPAR2","ENSG00000064547","514.1.1","N/A","N/A","N/A"
"515","LPAR4","ENSG00000147145","515.1.1","N/A","N/A","N/A"
"516","GPIHBP1","ENSG00000277494","516.1.1","N/A","N/A","N/A"
"517","LTBR","ENSG00000111321","517.1.1","N/A","N/A","N/A"
"518","TNFRSF1B","ENSG00000028137","518.1.1","N/A","N/A","N/A"
"519","GPR162","ENSG00000250510","519.1.1","N/A","N/A","N/A"
"520","LRP11","ENSG00000120256","520.1.1","E01G6.1","WBGene00008449",""
"520","LRP11","ENSG00000120256","520.1.2","tag-290","WBGene00009386",""
"520","LRP11","ENSG00000120256","520.1.3","K12G11.6","WBGene00010792",""
"520","LRP11","ENSG00000120256","520.1.4","C02F12.5","WBGene00015355","BPTI/Kunitz inhibitor domain-containing protein C02F12.5  [Source:UniProtKB/Swiss-Prot;Acc:Q11101]"
"520","LRP11","ENSG00000120256","520.1.5","Y55F3BR.2","WBGene00021939",""
"521","TMEM8A","ENSG00000129925","521.1.1","N/A","N/A","N/A"
"522","CD180","ENSG00000134061","522.1.1","N/A","N/A","N/A"
"523","AGR2","ENSG00000106541","523.1.1","txdc-12.1","WBGene00013263","ThioredoXin Domain Containing protein homolog  [Source:UniProtKB/TrEMBL;Acc:Q9NA78]"
"523","AGR2","ENSG00000106541","523.1.2","txdc-12.2","WBGene00018656","ThioredoXin Domain Containing protein homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N5S7]"
"524","PTPRD","ENSG00000153707","524.1.1","N/A","N/A","N/A"
"525","ALK","ENSG00000171094","525.1.1","N/A","N/A","N/A"
"526","GPC2","ENSG00000213420","526.1.1","N/A","N/A","N/A"
"527","PTPRB","ENSG00000127329","527.1.1","N/A","N/A","N/A"
"528","PTPRZ1","ENSG00000106278","528.1.1","N/A","N/A","N/A"
"529","TSPAN1","ENSG00000117472","529.1.1","N/A","N/A","N/A"
"530","CDH19","ENSG00000071991","530.1.1","N/A","N/A","N/A"
"531","CDH7","ENSG00000081138","531.1.1","N/A","N/A","N/A"
"532","NRXN2","ENSG00000110076","532.1.1","N/A","N/A","N/A"
"533","NRXN3","ENSG00000021645","533.1.1","N/A","N/A","N/A"
"534","PVRL1","N/A","534.1.1","N/A","N/A","N/A"
"535","PVRL2","N/A","535.1.1","N/A","N/A","N/A"
"536","PVRL3","N/A","536.1.1","N/A","N/A","N/A"
"537","PVRL4","N/A","537.1.1","N/A","N/A","N/A"
"538","CDH6","ENSG00000113361","538.1.1","N/A","N/A","N/A"
"539","MST1R","ENSG00000164078","539.1.1","N/A","N/A","N/A"
"540","FZD1","ENSG00000157240","540.1.1","sfrp-1","WBGene00022242","Secreted Frizzled-Related Protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K3ARM8]"
"541","FZD10","ENSG00000111432","541.1.1","sfrp-1","WBGene00022242","Secreted Frizzled-Related Protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K3ARM8]"
"542","FZD4","ENSG00000174804","542.1.1","lin-17","WBGene00003006","Transmembrane receptor LIN-17  [Source:UniProtKB/TrEMBL;Acc:G5EDV1]"
"543","FZD7","ENSG00000155760","543.1.1","N/A","N/A","N/A"
"544","ROBO1","ENSG00000169855","544.1.1","N/A","N/A","N/A"
"545","ROBO3","ENSG00000154134","545.1.1","N/A","N/A","N/A"
"546","LGR4","ENSG00000205213","546.1.1","N/A","N/A","N/A"
"547","KIDINS220","ENSG00000134313","547.1.1","N/A","N/A","N/A"
"548","MAGED1","ENSG00000179222","548.1.1","N/A","N/A","N/A"
"549","SORCS3","ENSG00000156395","549.1.1","N/A","N/A","N/A"
"550","NRXN1","ENSG00000179915","550.1.1","N/A","N/A","N/A"
"551","NMUR1","ENSG00000171596","551.1.1","nmur-1","WBGene00016747","NMUR (NeuroMedin U Receptor) homolog; Neuromedin U receptor  [Source:UniProtKB/TrEMBL;Acc:Q18701]"
"551","NMUR1","ENSG00000171596","551.1.2","nmur-2","WBGene00019616","NMUR (NeuroMedin U Receptor) homolog  [Source:UniProtKB/TrEMBL;Acc:O17239]"
"552","NMUR2","ENSG00000132911","552.1.1","nmur-1","WBGene00016747","NMUR (NeuroMedin U Receptor) homolog; Neuromedin U receptor  [Source:UniProtKB/TrEMBL;Acc:Q18701]"
"552","NMUR2","ENSG00000132911","552.1.2","nmur-2","WBGene00019616","NMUR (NeuroMedin U Receptor) homolog  [Source:UniProtKB/TrEMBL;Acc:O17239]"
"553","NPBWR1","ENSG00000183729","553.1.1","N/A","N/A","N/A"
"554","NPBWR2","ENSG00000125522","554.1.1","N/A","N/A","N/A"
"555","NPFFR1","ENSG00000148734","555.1.1","N/A","N/A","N/A"
"556","NPR1","ENSG00000169418","556.1.1","gcy-28","WBGene00020131","Receptor-type guanylate cyclase gcy-28  [Source:UniProtKB/Swiss-Prot;Acc:Q86GV3]"
"557","NPR3","ENSG00000113389","557.1.1","N/A","N/A","N/A"
"558","NPR2","ENSG00000159899","558.1.1","N/A","N/A","N/A"
"559","NPSR1","ENSG00000187258","559.1.1","N/A","N/A","N/A"
"560","FAP","ENSG00000078098","560.1.1","dpf-2","WBGene00001055","Dipeptidyl peptidase family member 2  [Source:UniProtKB/Swiss-Prot;Acc:Q18253]"
"561","NPY1R","ENSG00000164128","561.1.1","N/A","N/A","N/A"
"562","NPY2R","ENSG00000185149","562.1.1","N/A","N/A","N/A"
"563","NPY4R","ENSG00000204174","563.1.1","N/A","N/A","N/A"
"564","NPY5R","ENSG00000164129","564.1.1","N/A","N/A","N/A"
"565","PRLHR","ENSG00000119973","565.1.1","N/A","N/A","N/A"
"566","NTRK3","ENSG00000140538","566.1.1","N/A","N/A","N/A"
"567","ADORA2B","ENSG00000170425","567.1.1","N/A","N/A","N/A"
"568","NEO1","ENSG00000067141","568.1.1","N/A","N/A","N/A"
"569","UNC5A","ENSG00000113763","569.1.1","unc-5","WBGene00006745","Netrin receptor unc-5  [Source:UniProtKB/Swiss-Prot;Acc:Q26261]"
"570","UNC5C","ENSG00000182168","570.1.1","unc-5","WBGene00006745","Netrin receptor unc-5  [Source:UniProtKB/Swiss-Prot;Acc:Q26261]"
"571","UNC5D","ENSG00000156687","571.1.1","unc-5","WBGene00006745","Netrin receptor unc-5  [Source:UniProtKB/Swiss-Prot;Acc:Q26261]"
"572","LRRC4C","ENSG00000148948","572.1.1","N/A","N/A","N/A"
"573","LRRC4","ENSG00000128594","573.1.1","N/A","N/A","N/A"
"574","NTSR1","ENSG00000101188","574.1.1","N/A","N/A","N/A"
"575","NTSR2","ENSG00000169006","575.1.1","N/A","N/A","N/A"
"576","ERAP1","ENSG00000164307","576.1.1","F49B2.6","WBGene00009865","Aminopeptidase  [Source:UniProtKB/TrEMBL;Acc:G5EGH4]"
"576","ERAP1","ENSG00000164307","576.1.2","R03G8.4","WBGene00010999","Aminopeptidase  [Source:UniProtKB/TrEMBL;Acc:Q21673]"
"576","ERAP1","ENSG00000164307","576.1.3","R03G8.6","WBGene00011000","Aminopeptidase  [Source:UniProtKB/TrEMBL;Acc:Q9XVV9]"
"576","ERAP1","ENSG00000164307","576.1.4","anp-1","WBGene00011587","Aminopeptidase  [Source:UniProtKB/TrEMBL;Acc:Q1HB04]"
"576","ERAP1","ENSG00000164307","576.1.5","Y42A5A.1","WBGene00012776","Aminopeptidase  [Source:UniProtKB/TrEMBL;Acc:Q9U2H2]"
"577","OR1G1","ENSG00000183024","577.1.1","N/A","N/A","N/A"
"578","MOG","ENSG00000204655","578.1.1","N/A","N/A","N/A"
"579","ROBO2","ENSG00000185008","579.1.1","N/A","N/A","N/A"
"580","RTN4R","ENSG00000040608","580.1.1","N/A","N/A","N/A"
"581","RTN4RL1","ENSG00000185924","581.1.1","N/A","N/A","N/A"
"582","PDGFRA","ENSG00000134853","582.1.1","N/A","N/A","N/A"
"583","ART1","ENSG00000129744","583.1.1","N/A","N/A","N/A"
"584","SLC2A2","ENSG00000163581","584.1.1","F13B12.2","WBGene00008730",""
"584","SLC2A2","ENSG00000163581","584.1.2","K08F9.1","WBGene00010684",""
"584","SLC2A2","ENSG00000163581","584.1.3","hmit-1.3","WBGene00010811","H(+) MyoInositol coTransporter  [Source:UniProtKB/TrEMBL;Acc:Q21455]"
"584","SLC2A2","ENSG00000163581","584.1.4","Y37A1A.3","WBGene00012536",""
"584","SLC2A2","ENSG00000163581","584.1.5","hmit-1.2","WBGene00013074","H(+) MyoInositol coTransporter  [Source:UniProtKB/TrEMBL;Acc:Q9XXQ9]"
"584","SLC2A2","ENSG00000163581","584.1.6","C35A11.4","WBGene00016431",""
"584","SLC2A2","ENSG00000163581","584.1.7","F11D5.5","WBGene00017382",""
"584","SLC2A2","ENSG00000163581","584.1.8","fgt-1","WBGene00019207","Facilitated glucose transporter protein 1  [Source:UniProtKB/Swiss-Prot;Acc:O44827]"
"584","SLC2A2","ENSG00000163581","584.1.9","K09C4.1","WBGene00019547",""
"584","SLC2A2","ENSG00000163581","584.1.10","K09C4.2","WBGene00019548",""
"584","SLC2A2","ENSG00000163581","584.1.11","K09C4.4","WBGene00019549",""
"584","SLC2A2","ENSG00000163581","584.1.12","K09C4.5","WBGene00019550",""
"584","SLC2A2","ENSG00000163581","584.1.13","F11D5.7","WBGene00043980",""
"585","OPRK1","ENSG00000082556","585.1.1","N/A","N/A","N/A"
"586","MRGPRX1","ENSG00000170255","586.1.1","N/A","N/A","N/A"
"587","OGFR","ENSG00000060491","587.1.1","N/A","N/A","N/A"
"588","PROCR","ENSG00000101000","588.1.1","N/A","N/A","N/A"
"589","NPTN","ENSG00000156642","589.1.1","zig-11","WBGene00021305","2 (Zwei) IG domain protein  [Source:UniProtKB/TrEMBL;Acc:Q9BPN5]"
"590","PLA2R1","ENSG00000153246","590.1.1","N/A","N/A","N/A"
"591","MRC2","ENSG00000011028","591.1.1","N/A","N/A","N/A"
"592","PLGRKT","ENSG00000107020","592.1.1","tag-280","WBGene00044322",""
"592","PLGRKT","ENSG00000107020","592.1.2","tag-281","WBGene00044323",""
"593","MCHR1","ENSG00000128285","593.1.1","N/A","N/A","N/A"
"594","MCHR2","ENSG00000152034","594.1.1","N/A","N/A","N/A"
"595","OPRL1","ENSG00000125510","595.1.1","N/A","N/A","N/A"
"596","PROKR1","ENSG00000169618","596.1.1","N/A","N/A","N/A"
"597","PROKR2","ENSG00000101292","597.1.1","N/A","N/A","N/A"
"598","TMEM222","ENSG00000186501","598.1.1","H20J04.6","WBGene00019221",""
"599","CELSR1","ENSG00000075275","599.1.1","fmi-1","WBGene00001475","FlaMIngo (Cadherin plus 7TM domain) homolog  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AUS4]"
"599","CELSR1","ENSG00000075275","599.1.2","hmr-1","WBGene00001980","Cadherin-related hmr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q967F4]"
"599","CELSR1","ENSG00000075275","599.1.3","Y52B11A.11","WBGene00014914",""
"600","GPR37","ENSG00000170775","600.1.1","npr-34","WBGene00013187","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EDR6]"
"600","GPR37","ENSG00000170775","600.1.2","npr-35","WBGene00016842","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q7YXG8]"
"600","GPR37","ENSG00000170775","600.1.3","gnrr-5","WBGene00019224","GoNadotropin-Releasing hormone Receptor (GnRHR) related  [Source:UniProtKB/TrEMBL;Acc:O44536]"
"601","GPR37L1","ENSG00000170075","601.1.1","npr-34","WBGene00013187","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EDR6]"
"601","GPR37L1","ENSG00000170075","601.1.2","npr-35","WBGene00016842","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q7YXG8]"
"601","GPR37L1","ENSG00000170075","601.1.3","gnrr-5","WBGene00019224","GoNadotropin-Releasing hormone Receptor (GnRHR) related  [Source:UniProtKB/TrEMBL;Acc:O44536]"
"602","GFRA4","ENSG00000125861","602.1.1","Y69A2AR.31","WBGene00022100",""
"603","JMJD6","ENSG00000070495","603.1.1","psr-1","WBGene00004205","Bifunctional arginine demethylase and lysyl-hydroxylase psr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9GYI4]"
"604","PTGDR2","ENSG00000183134","604.1.1","N/A","N/A","N/A"
"605","PTH1R","ENSG00000160801","605.1.1","N/A","N/A","N/A"
"606","CDH10","ENSG00000040731","606.1.1","N/A","N/A","N/A"
"607","PLXNB2","ENSG00000196576","607.1.1","plx-1","WBGene00004047","PLeXin  [Source:UniProtKB/TrEMBL;Acc:U4PC90]"
"608","P2RY14","ENSG00000174944","608.1.1","N/A","N/A","N/A"
"609","QRFPR","ENSG00000186867","609.1.1","N/A","N/A","N/A"
"610","KLRK1","ENSG00000213809","610.1.1","clec-196","WBGene00009156","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:F5GUE2]"
"611","CMKLR1","ENSG00000174600","611.1.1","N/A","N/A","N/A"
"612","GPR1","ENSG00000183671","612.1.1","N/A","N/A","N/A"
"613","STRA6","ENSG00000137868","613.1.1","N/A","N/A","N/A"
"614","ASIC3","ENSG00000213199","614.1.1","mec-4","WBGene00003168","Degenerin mec-4  [Source:UniProtKB/Swiss-Prot;Acc:P24612]"
"614","ASIC3","ENSG00000213199","614.1.2","mec-10","WBGene00003174","Degenerin mec-10  [Source:UniProtKB/Swiss-Prot;Acc:P34886]"
"614","ASIC3","ENSG00000213199","614.1.3","del-8","WBGene00007518","DEgenerin Like  [Source:UniProtKB/TrEMBL;Acc:A0A3B1DVT2]"
"614","ASIC3","ENSG00000213199","614.1.4","delm-1","WBGene00009073","DEgenerin Linked to Mechanosensation  [Source:UniProtKB/TrEMBL;Acc:O45402]"
"614","ASIC3","ENSG00000213199","614.1.5","del-6","WBGene00011891","DEgenerin Like  [Source:UniProtKB/TrEMBL;Acc:Q8MPW1]"
"614","ASIC3","ENSG00000213199","614.1.6","delm-2","WBGene00016063","DEgenerin Linked to Mechanosensation  [Source:UniProtKB/TrEMBL;Acc:P91103]"
"614","ASIC3","ENSG00000213199","614.1.7","acd-1","WBGene00016064",""
"614","ASIC3","ENSG00000213199","614.1.8","acd-2","WBGene00016066",""
"614","ASIC3","ENSG00000213199","614.1.9","del-7","WBGene00016699","DEgenerin Like  [Source:UniProtKB/TrEMBL;Acc:Q18651]"
"614","ASIC3","ENSG00000213199","614.1.10","acd-4","WBGene00017879",""
"615","ATP6AP2","ENSG00000182220","615.1.1","vha-20","WBGene00010993","Vacuolar H ATPase  [Source:UniProtKB/TrEMBL;Acc:Q9XTY9]"
"615","ATP6AP2","ENSG00000182220","615.1.2","T14B4.3","WBGene00020500",""
"616","SLC17A7","ENSG00000104888","616.1.1","eat-4","WBGene00001135","Probable vesicular glutamate transporter eat-4  [Source:UniProtKB/Swiss-Prot;Acc:P34644]"
"616","SLC17A7","ENSG00000104888","616.1.2","C18D1.2","WBGene00007669",""
"616","SLC17A7","ENSG00000104888","616.1.3","slc-17.2","WBGene00008000","Uncharacterized transporter slc-17.2  [Source:UniProtKB/Swiss-Prot;Acc:Q03567]"
"616","SLC17A7","ENSG00000104888","616.1.4","F11A5.9","WBGene00008677",""
"616","SLC17A7","ENSG00000104888","616.1.5","vglu-2","WBGene00010755","Vesicular GLUtamate transporter  [Source:UniProtKB/TrEMBL;Acc:G5EEK1]"
"616","SLC17A7","ENSG00000104888","616.1.6","M162.5","WBGene00010931",""
"616","SLC17A7","ENSG00000104888","616.1.7","R10D12.1","WBGene00011185",""
"616","SLC17A7","ENSG00000104888","616.1.8","vglu-3","WBGene00011556","Potential vesicular glutamate transporter vglu-3  [Source:UniProtKB/Swiss-Prot;Acc:Q10046]"
"616","SLC17A7","ENSG00000104888","616.1.9","Y15E3A.4","WBGene00012443",""
"616","SLC17A7","ENSG00000104888","616.1.10","C01B4.7","WBGene00015271",""
"616","SLC17A7","ENSG00000104888","616.1.11","C01B4.8","WBGene00015272",""
"616","SLC17A7","ENSG00000104888","616.1.12","C18H9.5","WBGene00016003",""
"616","SLC17A7","ENSG00000104888","616.1.13","F44E7.7","WBGene00018429",""
"616","SLC17A7","ENSG00000104888","616.1.14","F56A4.10","WBGene00018918",""
"616","SLC17A7","ENSG00000104888","616.1.15","F56A4.12","WBGene00018920",""
"616","SLC17A7","ENSG00000104888","616.1.16","H11E01.2","WBGene00019187",""
"616","SLC17A7","ENSG00000104888","616.1.17","K11G9.5","WBGene00019655",""
"616","SLC17A7","ENSG00000104888","616.1.18","T19D12.9","WBGene00020583",""
"616","SLC17A7","ENSG00000104888","616.1.19","T19D12.10","WBGene00020584",""
"616","SLC17A7","ENSG00000104888","616.1.20","T22F3.7","WBGene00020697",""
"616","SLC17A7","ENSG00000104888","616.1.21","T22F3.8","WBGene00020698",""
"616","SLC17A7","ENSG00000104888","616.1.22","T22F3.10","WBGene00020699",""
"616","SLC17A7","ENSG00000104888","616.1.23","T22F3.11","WBGene00020700",""
"616","SLC17A7","ENSG00000104888","616.1.24","Y4C6B.3","WBGene00021157",""
"616","SLC17A7","ENSG00000104888","616.1.25","Y4C6B.4","WBGene00021158",""
"616","SLC17A7","ENSG00000104888","616.1.26","Y19D10A.4","WBGene00021219",""
"616","SLC17A7","ENSG00000104888","616.1.27","Y19D10A.5","WBGene00021220",""
"616","SLC17A7","ENSG00000104888","616.1.28","Y19D10A.8","WBGene00021223",""
"616","SLC17A7","ENSG00000104888","616.1.29","Y19D10A.11","WBGene00021226",""
"616","SLC17A7","ENSG00000104888","616.1.30","C42C1.19","WBGene00302978",""
"617","SLC18A2","ENSG00000165646","617.1.1","W05E10.1","WBGene00012280",""
"617","SLC18A2","ENSG00000165646","617.1.2","ZK550.2","WBGene00013996",""
"618","SLC18A3","ENSG00000187714","618.1.1","unc-17","WBGene00006756","Vesicular acetylcholine transporter unc-17  [Source:UniProtKB/Swiss-Prot;Acc:P34711]"
"619","RXFP1","ENSG00000171509","619.1.1","N/A","N/A","N/A"
"620","LGR5","ENSG00000139292","620.1.1","N/A","N/A","N/A"
"621","LGR6","ENSG00000133067","621.1.1","N/A","N/A","N/A"
"622","ZNRF3","ENSG00000183579","622.1.1","N/A","N/A","N/A"
"623","CNTNAP1","ENSG00000108797","623.1.1","N/A","N/A","N/A"
"624","GJB2","ENSG00000165474","624.1.1","N/A","N/A","N/A"
"625","TNFRSF19","ENSG00000127863","625.1.1","N/A","N/A","N/A"
"626","MARCO","ENSG00000019169","626.1.1","N/A","N/A","N/A"
"627","ESAM","ENSG00000149564","627.1.1","N/A","N/A","N/A"
"628","SELE","ENSG00000007908","628.1.1","N/A","N/A","N/A"
"629","PLXND1","ENSG00000004399","629.1.1","N/A","N/A","N/A"
"630","DCBLD2","ENSG00000057019","630.1.1","N/A","N/A","N/A"
"631","CD72","ENSG00000137101","631.1.1","N/A","N/A","N/A"
"632","PLXNB1","ENSG00000164050","632.1.1","plx-1","WBGene00004047","PLeXin  [Source:UniProtKB/TrEMBL;Acc:U4PC90]"
"633","PLXNB3","ENSG00000198753","633.1.1","plx-1","WBGene00004047","PLeXin  [Source:UniProtKB/TrEMBL;Acc:U4PC90]"
"634","TREM2","ENSG00000095970","634.1.1","N/A","N/A","N/A"
"635","TYROBP","ENSG00000011600","635.1.1","N/A","N/A","N/A"
"636","PLXNC1","ENSG00000136040","636.1.1","plx-1","WBGene00004047","PLeXin  [Source:UniProtKB/TrEMBL;Acc:U4PC90]"
"637","SLC16A2","ENSG00000147100","637.1.1","mct-4","WBGene00003986","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:H2L0E5]"
